Configuration,Full Avg (M/sec),Peak Avg (M/sec),Last 5 Avg (M/sec),Full Normalized,Peak Normalized,Last 5 Normalized,Min (M/sec),Max (M/sec),Coefficient of Variation,Improvement Trend (%/measurement)
default,1.919268941183713,1.9826187066267724,1.9226120066732542,1.0,1.033007237330683,1.0017418431663252,1.7241968560184717,1.993526240640765,0.04451947342755058,0.005900820173647029
sw,1.0739838830381183,1.383043494973585,1.2929991846159161,0.559579671192791,0.7206095327737603,0.6736935907577686,0.07393816858779952,1.6543640846786272,0.4117687186466939,2.3482324149040217
ec,1.2150315246608328,1.324159360183324,1.3052645989278568,0.6330699666881805,0.6899290306686493,0.6800842606887768,1.0266529920068215,1.4910581935601257,0.11719311930322882,0.4354569347277292
autopilot,0.447704522019507,0.5040826226140255,0.4703005166200738,0.23326825772701992,0.2626430365215682,0.245041487687502,0.3238476267460193,0.6116117746418902,0.19162502690898606,-0.10277394270373093
autothrottle,1.223226425497956,1.298838367500551,1.288357429094756,0.6373397699769624,0.676735990266945,0.6712750888888761,1.0476055363258945,1.5522783199438537,0.10397784508856114,-0.09798472081958015
