Configuration,Full Avg (M/sec),Peak Avg (M/sec),Last 5 Avg (M/sec),Full Normalized,Peak Normalized,Last 5 Normalized,Min (M/sec),Max (M/sec),Coefficient of Variation,Improvement Trend (%/measurement)
default,54.91742716472725,55.88140438720353,55.550130341258985,1.0,1.0175532116532844,1.011520990862043,51.121531948767725,58.9941933917713,0.03313569793779418,0.1585489913388736
sw,36.290644641007475,53.58750104280117,34.700657972438215,0.6608220106916532,0.9757831677376855,0.631869695358307,9.095234029210834,71.63768819542457,0.38146673172239454,0.061624897502001875
ec,34.9725855949545,38.388451850784875,33.83871152355824,0.6368212678655301,0.6990213094950173,0.6161743779812832,32.11483299375952,40.943097886614645,0.06896901318239378,-0.5069622015274747
autopilot,35.88335012300812,39.05839849621574,36.601059848095076,0.6534055212633038,0.7112204724933371,0.666474409631547,28.356699550444077,41.4631163954854,0.10039488680137951,-0.18781983525640175
autothrottle,30.050543164849657,31.532122242407986,29.445322307199724,0.5471950292702483,0.5741733338640572,0.536174468240786,27.604340785972624,34.26367245183363,0.051369439672435534,-0.1779784907955327
