timestamp,method,endpoint,response_time_ms,status_code
1758303373286,GET,/detail.html,113.66430600173771,200
1758303373287,GET,/,114.93597109802067,200
1758303373287,GET,/detail.html,114.89435494877398,200
1758303373288,GET,/detail.html,114.63113594800234,200
1758303373288,GET,/detail.html,115.04015303216875,200
1758303373289,GET,/,115.31838891096413,200
1758303373289,GET,/detail.html,114.498175913468,200
1758303373290,GET,/,114.81346702203155,200
1758303373290,GET,/,115.50936801359057,200
1758303373290,GET,/,115.29558408074081,200
1758303373290,GET,/detail.html,116.26420705579221,200
1758303373291,GET,/category.html,115.13300100341439,200
1758303373379,GET,/detail.html,205.3504129871726,200
1758303373380,GET,/basket.html,203.90506903640926,200
1758303373380,GET,/,201.33689907379448,200
1758303373381,GET,/detail.html,202.7576589025557,200
1758303373382,GET,/,203.2907009124756,200
1758303373383,GET,/basket.html,206.60544303245842,200
1758303373383,GET,/detail.html,205.69280302152038,200
1758303373383,GET,/basket.html,206.52808202430606,200
1758303373384,GET,/category.html,206.3694540411234,200
1758303373385,GET,/detail.html,205.31862298958004,200
1758303373385,GET,/detail.html,206.07960387133062,200
1758303373388,GET,/,207.56238303147256,200
1758303373388,GET,/category.html,206.22932608239353,200
1758303373388,GET,/detail.html,207.54007599316537,200
1758303373388,GET,/detail.html,208.5429821163416,200
1758303373392,GET,/detail.html,208.65594898350537,200
1758303373392,GET,/basket.html,208.4947780240327,200
1758303373392,GET,/,209.18838516809046,200
1758303373392,GET,/detail.html,209.5979331061244,200
1758303373392,GET,/category.html,210.31288895756006,200
1758303373392,GET,/,211.24978316947818,200
1758303373392,GET,/basket.html,211.07448893599212,200
1758303373400,GET,/basket.html,211.22187678702176,200
1758303373400,GET,/category.html,211.69407316483557,200
1758303373400,GET,/,212.6499528530985,200
1758303373400,GET,/detail.html,212.4863970093429,200
1758303373400,GET,/detail.html,213.4725609794259,200
1758303373400,GET,/,214.1571519896388,200
1758303373401,GET,/detail.html,213.97504396736622,200
1758303373401,GET,/,214.61997088044882,200
1758303373401,GET,/basket.html,214.9934689514339,200
1758303373401,GET,/basket.html,215.97517793998122,200
1758303373401,GET,/,215.45479213818908,200
1758303373401,GET,/,215.86087998002768,200
1758303373401,GET,/detail.html,216.54217294417322,200
1758303373401,GET,/detail.html,216.9491129461676,200
1758303373410,GET,/detail.html,215.12299682945013,200
1758303373410,GET,/category.html,216.14430099725723,200
1758303373410,GET,/,215.94779193401337,200
1758303373410,GET,/,216.66590310633183,200
1758303373410,GET,/detail.html,217.07047219388187,200
1758303373410,GET,/,217.7152531221509,200
1758303373410,GET,/detail.html,218.7535841949284,200
1758303373410,GET,/,218.53303303942084,200
1758303373410,GET,/,219.48667406104505,200
1758303373410,GET,/detail.html,218.38947804644704,200
1758303373411,GET,/basket.html,220.3076370060444,200
1758303373411,GET,/,219.4830731023103,200
1758303373411,GET,/detail.html,220.1622521970421,200
1758303373411,GET,/detail.html,221.20491205714643,200
1758303373411,GET,/detail.html,221.8785199802369,200
1758303373411,GET,/,222.8575530461967,200
1758303373475,GET,/basket.html,279.6857219655067,200
1758303373475,GET,/basket.html,280.44459503144026,200
