timestamp,response_time_ms,request_type,name,response_length,exception
1758653457.6104248,268.00731592811644,POST,get_trip_information,904,
1758653457.6270702,5.834680981934071,GET,home,18128,
1758653457.6303222,275.8532490115613,POST,get_trip_information,904,
1758653457.6402133,27.94088516384363,POST,get_trip_information,53,
1758653457.6503344,26.99494012631476,POST,get_trip_information,53,
1758653457.656206,28.636991046369076,POST,get_trip_information,53,
1758653457.6666594,33.514543902128935,POST,get_trip_information,53,
1758653457.6812284,24.333107052370906,POST,get_trip_information,53,
1758653457.6867423,2.8808959759771824,GET,home,18128,
1758653457.6928546,30.770294833928347,POST,get_trip_information,53,
1758653457.6960986,17.656370997428894,POST,get_trip_information,53,
1758653457.7096338,19.489460857585073,POST,get_trip_information,53,
1758653457.7111175,5.956543143838644,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758653457.7163177,4.705589031800628,GET,home,18128,
1758653457.7210336,33.81836088374257,POST,get_trip_information,53,
1758653457.733186,29.319358058273792,POST,get_trip_information,53,
1758653457.7361262,6.900431122630835,GET,home,18128,
1758653457.740287,26.789125986397266,POST,get_trip_information,53,
1758653457.7408154,9.766060160472989,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758653457.746786,29.994077049195766,POST,get_trip_information,53,
1758653457.7496862,31.342508038505912,POST,get_trip_information,53,
1758653457.7708123,5.66153391264379,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758653457.7768285,29.35467497445643,POST,get_trip_information,53,
1758653457.7847285,3.6970910150557756,GET,home,18128,
1758653457.826647,2.9410170391201973,GET,home,18128,
1758653457.8310328,18.276032991707325,POST,get_trip_information,53,
1758653457.843867,107.2473640087992,POST,get_trip_information,327,
1758653457.8551247,28.004765044897795,POST,get_trip_information,53,
1758653457.862829,18.30913289450109,POST,get_trip_information,53,
1758653457.8674753,27.96985604800284,POST,get_trip_information,53,
1758653457.870384,19.70121101476252,POST,get_trip_information,53,
1758653457.8906202,105.39369704201818,POST,get_trip_information,327,
1758653457.8958182,27.652971912175417,POST,get_trip_information,53,
1758653457.899902,19.13029490970075,POST,get_trip_information,53,
1758653457.9018068,19.456160021945834,POST,get_trip_information,53,
1758653457.9138732,17.35614985227585,POST,get_trip_information,53,
1758653457.9512324,4.621634958311915,GET,home,18128,
1758653457.9667876,18.78183986991644,POST,get_trip_information,53,
1758653457.9719813,29.301205184310675,POST,get_trip_information,53,
1758653457.9743636,19.3840810097754,POST,get_trip_information,53,
1758653457.974915,7.563302060589194,GET,home,18128,
1758653457.9809203,4.236861132085323,GET,home,18128,
1758653457.997053,28.317438904196024,POST,get_trip_information,53,
1758653458.002269,18.07736000046134,POST,get_trip_information,53,
1758653458.00378,6.1727710999548435,GET,home,18128,
1758653458.025338,263.0853170994669,POST,get_trip_information,904,
1758653458.03114,32.109119929373264,POST,get_trip_information,53,
1758653458.0326004,28.345952974632382,POST,get_trip_information,53,
1758653458.0340352,18.478563986718655,POST,get_trip_information,53,
1758653458.038769,27.38425019197166,POST,get_trip_information,53,
1758653458.041484,266.85171690769494,POST,get_trip_information,904,
1758653458.0609465,109.24467700533569,POST,get_trip_information,327,
1758653458.066396,3.3105139154940844,GET,home,18128,
1758653458.0785897,2.830017125234008,GET,home,18128,
1758653458.0818207,20.22218587808311,POST,get_trip_information,53,
1758653458.0862918,110.96652504056692,POST,get_trip_information,327,
1758653458.0902867,108.87199314311147,POST,get_trip_information,327,
1758653458.0951777,11.772978119552135,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758653458.1063101,19.360914826393127,POST,get_trip_information,53,
1758653458.107779,28.724004048854113,POST,get_trip_information,53,
1758653458.1152298,277.26451493799686,POST,get_trip_information,904,
1758653458.1168666,25.923985987901688,POST,get_trip_information,53,
1758653458.121016,5.27336890809238,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758653458.123553,31.085692811757326,POST,get_trip_information,53,
1758653458.125597,29.74345302209258,POST,get_trip_information,53,
1758653458.127088,29.146644053980708,POST,get_trip_information,53,
1758653458.1374943,27.950990945100784,POST,get_trip_information,53,
1758653458.139033,4.286966985091567,GET,home,18128,
1758653458.1422486,31.149958027526736,POST,get_trip_information,53,
1758653458.1601863,268.9128548372537,POST,get_trip_information,904,
1758653458.1744213,107.55634494125843,POST,get_trip_information,327,
1758653458.1806903,19.78646987117827,POST,get_trip_information,53,
1758653458.1928015,5.4850110318511724,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758653458.1977196,22.462929133325815,POST,get_trip_information,53,
1758653458.2013686,19.966466119512916,POST,get_trip_information,53,
1758653458.2055712,28.956555062904954,POST,get_trip_information,53,
1758653458.2176182,28.24119501747191,POST,get_trip_information,53,
1758653458.2182398,8.941993117332458,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758653458.2410955,3.0390280298888683,GET,home,18128,
1758653458.2444556,30.87085415609181,POST,get_trip_information,53,
1758653458.246049,106.55432287603617,POST,get_trip_information,327,
1758653458.2576945,2.9199738055467606,GET,home,18128,
1758653458.285012,26.81389218196273,POST,get_trip_information,53,
1758653458.286525,18.131122924387455,POST,get_trip_information,53,
1758653458.298396,270.0968289282173,POST,get_trip_information,904,
1758653458.3333726,28.08978408575058,POST,get_trip_information,53,
1758653458.33487,19.270220072939992,POST,get_trip_information,53,
1758653458.3363218,29.404564993456006,POST,get_trip_information,53,
1758653458.346502,104.90609589032829,POST,get_trip_information,327,
1758653458.3633134,5.017105955630541,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758653458.379797,27.44802483357489,POST,get_trip_information,53,
1758653458.3894374,2.8834149707108736,GET,home,18128,
1758653458.400015,3.0283050145953894,GET,home,18128,
1758653458.4088237,28.294678078964353,POST,get_trip_information,53,
1758653458.4106894,8.770426968112588,GET,home,18128,
1758653458.4182274,28.309161076322198,POST,get_trip_information,53,
1758653458.420518,29.005185002461076,POST,get_trip_information,53,
1758653458.4330025,27.954546036198735,POST,get_trip_information,53,
1758653458.4416234,30.399683862924576,POST,get_trip_information,53,
1758653458.4691803,29.813379980623722,POST,get_trip_information,53,
1758653458.479931,17.854968085885048,POST,get_trip_information,53,
1758653458.4965937,30.240682186558843,POST,get_trip_information,53,
1758653458.5115285,111.011658096686,POST,get_trip_information,327,
1758653458.516204,269.44392500445247,POST,get_trip_information,904,
1758653458.5185006,4.906116984784603,GET,home,18128,
1758653458.524475,30.14218108728528,POST,get_trip_information,53,
1758653458.5260465,18.01659003831446,POST,get_trip_information,53,
1758653458.5266352,6.293283076956868,GET,home,18128,
1758653458.5441315,3.5461189690977335,GET,home,18128,
1758653458.5559056,3.2524080015718937,GET,home,18128,
1758653458.5600219,31.36998601257801,POST,get_trip_information,53,
1758653458.5615945,30.8144458103925,POST,get_trip_information,53,
1758653458.5688477,30.32183600589633,POST,get_trip_information,53,
1758653458.5784802,7.331768050789833,GET,home,18128,
1758653458.5993989,29.74772802554071,POST,get_trip_information,53,
1758653458.6026835,28.338033938780427,POST,get_trip_information,53,
1758653458.6069186,27.817737078294158,POST,get_trip_information,53,
