timestamp,response_time_ms,request_type,name,response_length,exception
1758604470.208073,2.0543381106108427,GET,home,18128,
1758604470.2257519,323.0520689394325,POST,get_trip_information,904,
1758604470.2267966,144.17452295310795,POST,get_trip_information,327,
1758604470.2391274,150.400266982615,POST,get_trip_information,327,
1758604470.241528,138.60544306226075,POST,get_trip_information,327,
1758604470.2524724,2.0935700740665197,GET,home,18128,
1758604470.2612855,2.096736105158925,GET,home,18128,
1758604470.2635622,150.4691259469837,POST,get_trip_information,327,
1758604470.266303,113.26322704553604,POST,get_trip_information,327,
1758604470.2692652,139.30469891056418,POST,get_trip_information,327,
1758604470.2705443,136.97267300449312,POST,get_trip_information,327,
1758604470.2738397,151.98002406395972,POST,get_trip_information,327,
1758604470.2751317,119.86813112162054,POST,get_trip_information,327,
1758604470.2778006,88.68630905635655,POST,get_trip_information,327,
1758604470.2808974,298.0577771086246,POST,get_trip_information,904,
1758604470.282669,100.12258100323379,POST,get_trip_information,327,
1758604470.2863982,7.157983025535941,GET,home,18128,
1758604470.2900877,104.49937614612281,POST,get_trip_information,327,
1758604470.2964625,99.35988602228463,POST,get_trip_information,327,
1758604470.3007789,2.7391170151531696,GET,home,18128,
1758604470.3033214,102.46256995014846,POST,get_trip_information,327,
1758604470.3069768,305.5838260333985,POST,get_trip_information,904,
1758604470.309525,100.81152198836207,POST,get_trip_information,327,
1758604470.3152032,10.355262085795403,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.3162491,8.821348892524838,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.3206458,295.53738492541015,POST,get_trip_information,904,
1758604470.3225505,300.78796413727105,POST,get_trip_information,904,
1758604470.3263125,5.196081940084696,GET,home,18128,
1758604470.3327491,318.08576290495694,POST,get_trip_information,904,
1758604470.3350005,11.131070088595152,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.3366644,7.344381883740425,GET,home,18128,
1758604470.3379393,9.725757874548435,GET,home,18128,
1758604470.3440464,2.0767648238688707,GET,home,18128,
1758604470.3485467,281.83121606707573,POST,get_trip_information,904,
1758604470.3507419,97.93616784736514,POST,get_trip_information,327,
1758604470.3538377,284.0045550838113,POST,get_trip_information,904,
1758604470.3550003,304.1513520292938,POST,get_trip_information,904,
1758604470.3559372,94.32363416999578,POST,get_trip_information,327,
1758604470.3587508,9.79233207181096,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.359029,295.016807038337,POST,get_trip_information,904,
1758604470.3886745,101.79671179503202,POST,get_trip_information,327,
1758604470.3913255,90.16961394809186,POST,get_trip_information,327,
1758604470.3924303,299.8356770258397,POST,get_trip_information,904,
1758604470.394397,295.47617002390325,POST,get_trip_information,904,
1758604470.3947048,298.47120586782694,POST,get_trip_information,904,
1758604470.3969767,1.9611208699643612,GET,home,18128,
1758604470.4066472,2.1414789371192455,GET,home,18128,
1758604470.4111633,2.4745650589466095,GET,home,18128,
1758604470.413118,278.155721956864,POST,get_trip_information,904,
1758604470.4172542,90.4619840439409,POST,get_trip_information,327,
1758604470.419317,293.1603549513966,POST,get_trip_information,904,
1758604470.4279401,234.4248970039189,POST,get_trip_information,904,
1758604470.4288082,91.80912212468684,POST,get_trip_information,327,
1758604470.4379048,99.62626313790679,POST,get_trip_information,327,
1758604470.440455,96.10131406225264,POST,get_trip_information,327,
1758604470.4622016,234.94169698096812,POST,get_trip_information,904,
1758604470.465501,2.923550084233284,GET,home,18128,
1758604470.4743905,4.48402320034802,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.4817662,242.16093006543815,POST,get_trip_information,904,
1758604470.4928,95.51020688377321,POST,get_trip_information,327,
1758604470.4986272,234.58116594702005,POST,get_trip_information,904,
1758604470.4991238,257.11479503661394,POST,get_trip_information,904,
1758604470.4995627,13.199032051488757,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.5024183,12.42787390947342,GET,home,18128,
1758604470.5060856,17.839251086115837,GET,home,18128,
1758604470.5091057,9.105086093768477,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.5122917,105.33640906214714,POST,get_trip_information,327,
1758604470.516219,249.43383201025426,POST,get_trip_information,904,
1758604470.5166802,238.39020007289946,POST,get_trip_information,904,
1758604470.518778,243.18727804347873,POST,get_trip_information,904,
1758604470.5202463,108.76401793211699,POST,get_trip_information,327,
1758604470.5246313,254.8888500314206,POST,get_trip_information,904,
1758604470.5250897,254.08616894856095,POST,get_trip_information,904,
1758604470.527937,8.70471796952188,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.5299594,4.396914970129728,GET,home,18128,
1758604470.5360324,261.70484791509807,POST,get_trip_information,904,
1758604470.5372486,5.776694975793362,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.5384407,241.46240716800094,POST,get_trip_information,904,
1758604470.539655,229.6112331096083,POST,get_trip_information,904,
1758604470.5408535,257.7114528976381,POST,get_trip_information,904,
1758604470.5440066,253.3750080037862,POST,get_trip_information,904,
1758604470.5582907,254.44982387125492,POST,get_trip_information,904,
1758604470.5600371,94.04133213683963,POST,get_trip_information,327,
1758604470.5726154,2.3871310986578465,GET,home,18128,
1758604470.5837471,232.48994490131736,POST,get_trip_information,904,
1758604470.5890791,232.7226558700204,POST,get_trip_information,904,
1758604470.5929003,90.02273296937346,POST,get_trip_information,327,
1758604470.5961847,6.684300024062395,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.6069922,100.41166702285409,POST,get_trip_information,327,
1758604470.6263301,12.182946084067225,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.6318288,2.913184929639101,GET,home,18128,
1758604470.6350358,104.63319509290159,POST,get_trip_information,327,
1758604470.641219,252.12557497434318,POST,get_trip_information,904,
1758604470.6426663,250.923230079934,POST,get_trip_information,904,
1758604470.6532416,235.58013187721372,POST,get_trip_information,904,
1758604470.6584885,229.27530691958964,POST,get_trip_information,904,
1758604470.6591434,4.2763398960232735,GET,home,18128,
1758604470.6670334,94.01280106976628,POST,get_trip_information,327,
1758604470.6704218,9.548058034852147,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.681528,243.19794494658709,POST,get_trip_information,904,
1758604470.683834,242.96876112930477,POST,get_trip_information,904,
1758604470.684386,5.39041799493134,GET,home,18128,
1758604470.690232,4.055487923324108,GET,home,18128,
1758604470.697696,5.6898819748312235,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.6991198,3.9281100034713745,GET,home,18128,
1758604470.7208924,88.58599700033665,POST,get_trip_information,327,
1758604470.7292466,6.430699024349451,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.734269,240.81257497891784,POST,get_trip_information,904,
1758604470.7367284,6.992965005338192,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.739448,226.5573088079691,POST,get_trip_information,904,
1758604470.7412462,6.3953769858926535,GET,home,18128,
1758604470.7444692,223.62446296028793,POST,get_trip_information,904,
1758604470.751511,6.53283903375268,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.755288,6.471915869042277,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.756664,97.07723488099873,POST,get_trip_information,327,
1758604470.7780132,2.7805371209979057,GET,home,18128,
1758604470.784371,99.54953496344388,POST,get_trip_information,327,
1758604470.7894611,228.87772601097822,POST,get_trip_information,904,
1758604470.7910836,100.35490803420544,POST,get_trip_information,327,
1758604470.7949352,95.35102709196508,POST,get_trip_information,327,
1758604470.798301,8.334577083587646,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.8105092,5.673367064446211,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.8138947,2.871765987947583,GET,home,18128,
1758604470.8350835,2.7967318892478943,GET,home,18128,
1758604470.8443615,2.9101897962391376,GET,home,18128,
1758604470.854732,6.016992963850498,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.8561273,4.549204837530851,GET,home,18128,
1758604470.8653755,7.512612966820598,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.8693066,275.84693511016667,POST,get_trip_information,904,
1758604470.8697963,128.06378188543022,POST,get_trip_information,327,
1758604470.8716002,12.03289208933711,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
1758604470.8721025,9.259682148694992,GET,home,18128,
1758604470.8769343,269.39599006436765,POST,get_trip_information,904,
1758604470.88158,7.719704881310463,GET,get_assurance_types,140,403 Client Error:  for url: get_assurance_types
