latency,cdf
1.8562751356512308,3.485170599100826e-05
1.859236042946577,6.970341198201652e-05
1.8629101105034351,0.00010455511797302479
1.8674349412322044,0.00013940682396403303
1.87585293315351,0.0001742585299550413
1.8912379164248705,0.00020911023594604957
1.90364895388484,0.00024396194193705782
1.910549122840166,0.00027881364792806606
1.9133691675961015,0.00031366535391907436
1.9135968759655952,0.0003485170599100826
1.9177331123501065,0.00038336876590109085
1.9267648458480835,0.00041822047189209914
1.9271469209343195,0.0004530721778831074
1.9305229652673008,0.00048792388387411563
1.9321918953210115,0.0005227755898651239
1.9358298741281037,0.0005576272958561321
1.9361700396984816,0.0005924790018471404
1.9407188519835472,0.0006273307078381487
1.9433610141277315,0.0006621824138291569
1.9435069989413023,0.0006970341198201652
1.943723065778613,0.0007318858258111735
1.9452539272606373,0.0007667375318021817
1.9466220401227476,0.00080158923779319
1.9469410181045528,0.0008364409437841983
1.9489459227770567,0.0008712926497752065
1.9494970329105852,0.0009061443557662148
1.949528930708766,0.000940996061757223
1.949650002643466,0.0009758477677482313
1.9509568810462952,0.0010106994737392396
1.9539089407771824,0.0010455511797302479
1.9551380537450316,0.0010804028857212562
1.9551478326320648,0.0011152545917122642
1.9626759458333252,0.0011501062977032725
1.9642871338874104,0.0011849580036942808
1.9669050816446545,0.0012198097096852891
1.9703467842191456,0.0012546614156762974
1.9705009181052449,0.0012895131216673055
1.9712380599230528,0.0013243648276583138
1.982854912057519,0.0013592165336493221
1.988210016861558,0.0013940682396403304
1.9913960713893173,0.0014289199456313387
1.9921839702874424,0.001463771651622347
1.99484103359282,0.001498623357613355
1.9984738901257515,0.0015334750636043634
2.0105489529669285,0.0015683267695953717
2.0134011283516884,0.00160317847558638
2.015552949160337,0.0016380301815773883
2.021564869210124,0.0016728818875683966
2.0296841394156218,0.0017077335935594047
2.0304268691688776,0.001742585299550413
2.0307088270783424,0.0017774370055414213
2.036925870925188,0.0018122887115324296
2.0448460709303617,0.0018471404175234379
2.0479350350797176,0.001881992123514446
2.051292220130563,0.0019168438295054542
2.0563998259603977,0.0019516955354964625
2.0590489730238914,0.0019865472414874706
2.066367072984576,0.002021398947478479
2.068578964099288,0.002056250653469487
2.069920999929309,0.0020911023594604957
2.07131402567029,0.002125954065451504
