timestamp,method,endpoint,response_time_ms,status_code
1758605636988,GET,/basket.html,437.11746600456536,200
1758605636989,GET,/category.html,437.499457038939,200
1758605636989,GET,/,437.01603915542364,200
1758605636990,GET,/,437.4626949429512,200
1758605636990,GET,/,438.4523159824312,200
1758605636991,GET,/,438.01509588956833,200
1758605636992,GET,/detail.html,438.43434285372496,200
1758605636992,GET,/,437.9044969100505,200
1758605636992,GET,/,438.3794490713626,200
1758605636994,GET,/category.html,438.5667641181499,200
1758605636994,GET,/,438.40308394283056,200
1758605636994,GET,/category.html,439.0600079204887,200
1758605636994,GET,/category.html,438.68739204481244,200
1758605636995,GET,/category.html,439.07828186638653,200
1758605636995,GET,/detail.html,438.1892657838762,200
1758605636996,GET,/,437.98128608614206,200
1758605637077,GET,/,520.0767440255731,200
1758605637079,GET,/,521.0989040788263,200
1758605637084,GET,/category.html,525.8570099249482,200
1758605637086,GET,/detail.html,526.3918419368565,200
1758605637086,GET,/detail.html,528.655620990321,200
1758605637091,GET,/basket.html,530.6974919512868,200
1758605637091,GET,/category.html,530.3538218140602,200
1758605637092,GET,/basket.html,530.2081480622292,200
1758605637092,GET,/detail.html,531.8757530767471,200
1758605637092,GET,/category.html,532.9572348855436,200
1758605637097,GET,/basket.html,532.7752400189638,200
1758605637097,GET,/basket.html,532.7002019621432,200
1758605637097,GET,/basket.html,535.3197539225221,200
1758605637097,GET,/detail.html,534.8688850644976,200
1758605637098,GET,/category.html,536.8439638987184,200
1758605637101,GET,/category.html,548.821910051629,200
1758605637102,GET,/detail.html,538.639432983473,200
1758605637102,GET,/detail.html,539.4452910404652,200
1758605637102,GET,/basket.html,538.3102891501039,200
1758605637102,GET,/category.html,538.1668079644442,200
1758605637176,GET,/basket.html,621.6832781210542,200
1758605637176,GET,/category.html,619.936116039753,200
1758605637177,GET,/basket.html,617.603732040152,200
1758605637177,GET,/basket.html,615.5305870343,200
1758605637177,GET,/detail.html,617.2554960940033,200
1758605637178,GET,/detail.html,614.6922090556473,200
1758605637180,GET,/detail.html,614.4277018029243,200
1758605637180,GET,/basket.html,615.2766030281782,200
