timestamp,method,endpoint,response_time_ms,status_code
1758642008705,GET,/,113.31170983612537,200
1758642008706,GET,/basket.html,114.42106100730598,200
1758642008707,GET,/detail.html,114.25100499764085,200
1758642008707,GET,/basket.html,114.37689303420484,200
1758642008708,GET,/,114.41664793528616,200
1758642008708,GET,/basket.html,114.56368397921324,200
1758642008709,GET,/category.html,114.11848291754723,200
1758642008709,GET,/,114.79045287705958,200
1758642008710,GET,/category.html,115.76803913339972,200
1758642008797,GET,/detail.html,205.561270006001,200
1758642008797,GET,/basket.html,204.18598502874374,200
1758642008797,GET,/detail.html,202.10502995178103,200
1758642008799,GET,/detail.html,200.5217878613621,200
1758642008801,GET,/detail.html,204.0975820273161,200
1758642008801,GET,/,203.14110699109733,200
1758642008805,GET,/,209.68362502753735,200
1758642008805,GET,/,209.24227102659643,200
1758642008805,GET,/,210.2413361426443,200
1758642008805,GET,/,207.8117949422449,200
1758642008805,GET,/,209.28362291306257,200
1758642008805,GET,/category.html,208.30056886188686,200
1758642008806,GET,/,207.86467008292675,200
1758642008807,GET,/,208.03996198810637,200
1758642008808,GET,/,208.4452142007649,200
1758642008808,GET,/detail.html,208.95245601423085,200
1758642008810,GET,/category.html,209.9889579694718,200
1758642008811,GET,/detail.html,210.8212010934949,200
1758642008811,GET,/detail.html,210.58202488347888,200
1758642008815,GET,/detail.html,212.20124093815684,200
1758642008815,GET,/category.html,212.05372107215226,200
1758642008815,GET,/detail.html,213.35848094895482,200
1758642008815,GET,/,213.1615688558668,200
1758642008815,GET,/category.html,213.89845805242658,200
1758642008816,GET,/detail.html,214.35251901857555,200
1758642008816,GET,/,214.75850814022124,200
1758642008824,GET,/basket.html,216.44368511624634,200
1758642008824,GET,/detail.html,217.4569428898394,200
1758642008824,GET,/,216.44803299568594,200
1758642008824,GET,/detail.html,218.33590301685035,200
1758642008825,GET,/,217.2325700521469,200
1758642008825,GET,/,217.61153102852404,200
1758642008825,GET,/detail.html,219.56420689821243,200
1758642008825,GET,/,219.05600000172853,200
1758642008825,GET,/basket.html,220.06877092644572,200
1758642008825,GET,/category.html,219.5670958608389,200
1758642008825,GET,/detail.html,221.2391421198845,200
1758642008825,GET,/category.html,221.63547715172172,200
1758642008825,GET,/,222.01371006667614,200
1758642008826,GET,/,221.23266686685383,200
1758642008889,GET,/detail.html,280.30807385221124,200
1758642008890,GET,/basket.html,280.7664929423481,200
1758642008892,GET,/category.html,281.87110484577715,200
1758642008893,GET,/,282.3277518618852,200
1758642008893,GET,/,283.4263751283288,200
1758642008893,GET,/,284.4100759830326,200
1758642008899,GET,/detail.html,284.9231120198965,200
1758642008899,GET,/,285.7089168392122,200
1758642008899,GET,/detail.html,286.77218686789274,200
1758642008899,GET,/detail.html,287.2106130234897,200
1758642008899,GET,/detail.html,286.397660151124,200
1758642008899,GET,/category.html,287.74704691022635,200
1758642008899,GET,/detail.html,288.2136849220842,200
1758642008899,GET,/detail.html,289.4857570063323,200
1758642008900,GET,/detail.html,289.96437485329807,200
