Baseline,Absolute_Throughput_ops_sec,Normalized_Throughput,Performance_vs_Default_percent
default,3264.47,1.0,0
ec,3267.05,1.000790327373203,0.07903273732030591
at,3266.35,1.0005758974657448,0.05758974657448235
ap,3268.81,1.0013294654262408,0.13294654262407946
sw,3246.63,0.9945351006442088,-0.5464899355791197
