Iteration,Timestamp,Metric,Value,Unit
5,2025-10-20 19:41:36,indegree_time,5.830431938171387,seconds
5,2025-10-20 19:41:36,indegree_throughput,408.37454673156844,nodes/second
5,2025-10-20 19:41:36,top_influencers_time,2.9819536209106445,seconds
5,2025-10-20 19:41:36,stats_time,4.170597553253174,seconds
5,2025-10-20 19:41:36,avg_out_degree,16.97037643207856,edges
5,2025-10-20 19:41:36,max_out_degree,893,edges
5,2025-10-20 19:41:36,avg_in_degree,43.54850902981941,edges
5,2025-10-20 19:41:36,max_in_degree,457,edges
5,2025-10-20 19:41:36,total_processing_time,30.2881076335907,seconds
5,2025-10-20 19:41:36,overall_throughput,3423.4228580528693,edges/second
